ID,Type,Timestamp,Velocity,Distance,Duration,Peak Velocity,Avg Velocity,Peak/Avg Ratio,Acceleration,Avg Jerk,Max Jerk,Initial Velocity,Peak Acceleration,Velocity Variance,Velocity CV,Distance/Duration Ratio,Straightness %,Pause Before Release,Y Movement
1,Flick,2025-10-24T08:48:10.617Z,12,85,50,9,6,1.61,1.98,1.0,1.6,2,2.5,2.3,0.41,1.71,83,1.61,18
2,Flick,2025-10-24T08:48:11.964Z,46,65,48,46,29,1.60,1.73,2.2,5.3,9,12.6,12.7,0.44,1.35,94,1.60,4
3,Flick,2025-10-24T08:48:14.638Z,33,86,65,27,19,1.43,0.54,3.8,7.0,8,6.9,6.6,0.35,1.32,77,1.43,26
4,Flick,2025-10-24T08:48:15.404Z,82,62,38,63,50,1.27,0.71,27.0,27.0,37,26.6,13.1,0.26,1.62,84,1.26,12
5,Flick,2025-10-24T08:48:16.853Z,47,66,46,38,24,1.58,2.55,2.6,4.7,6,12.1,11.0,0.46,1.43,76,1.58,21
6,Flick,2025-10-24T08:48:17.870Z,76,86,46,77,47,1.65,0.21,9.1,12.9,30,23.4,17.5,0.38,1.88,81,1.65,20
7,Flick,2025-10-24T08:48:20.735Z,27,77,38,23,16,1.41,0.73,0.3,0.6,10,4.8,4.9,0.30,2.02,84,1.41,15
8,Flick,2025-10-24T08:48:21.602Z,98,83,56,87,53,1.64,1.24,13.3,24.0,20,23.5,21.9,0.41,1.48,77,1.64,25
9,Flick,2025-10-24T08:48:22.776Z,59,79,57,48,31,1.58,2.69,5.9,9.8,7,13.6,13.6,0.44,1.39,83,1.58,16
10,Flick,2025-10-24T08:48:24.342Z,38,64,39,38,29,1.33,0.58,0.7,0.9,19,6.8,7.1,0.25,1.64,74,1.33,22
11,Flick,2025-10-24T08:48:26.061Z,31,59,35,20,15,1.31,0.27,7.1,7.1,13,7.0,3.3,0.22,1.69,92,1.31,5
12,Flick,2025-10-24T08:48:26.785Z,91,65,34,64,60,1.06,0.20,11.6,11.6,54,10.8,4.9,0.08,1.91,84,1.05,13
13,Flick,2025-10-24T08:48:27.764Z,72,70,46,58,36,1.59,0.99,24.9,31.5,15,31.1,17.4,0.48,1.51,87,1.59,10
14,Flick,2025-10-24T08:48:29.105Z,45,68,42,40,30,1.30,0.53,1.8,3.2,20,8.9,7.4,0.24,1.62,100,1.30,0
15,Flick,2025-10-24T08:48:31.742Z,153,67,40,125,81,1.55,1.22,10.8,19.4,28,44.7,35.9,0.44,1.68,76,1.55,21
16,Glide,2025-10-24T08:48:33.428Z,67,109,64,56,27,2.06,1.62,5.2,8.6,7,14.3,17.6,0.65,1.70,90,2.06,12
17,Glide,2025-10-24T08:48:34.403Z,143,138,105,126,63,1.99,1.34,5.6,26.7,18,26.0,33.0,0.52,1.31,86,1.86,23
18,Glide,2025-10-24T08:48:36.369Z,1324,167,455,1037,139,7.45,1.37,15.8,200.0,9,178.1,242.0,1.74,0.37,83,3.96,35
19,Glide,2025-10-24T08:48:37.497Z,1065,161,197,1056,269,3.93,0.91,50.0,330.8,19,332.7,308.4,1.15,0.82,90,3.04,18
20,Glide,2025-10-24T08:48:38.546Z,120,123,72,112,53,2.10,1.63,21.9,26.4,16,36.7,29.8,0.56,1.71,100,2.10,0
21,Glide,2025-10-24T08:48:40.267Z,83,138,90,72,32,2.23,1.71,13.3,20.6,5,20.4,20.6,0.64,1.54,92,1.92,12
22,Glide,2025-10-24T08:48:42.000Z,76,151,88,76,35,2.20,1.09,8.0,20.6,10,20.4,20.8,0.60,1.71,98,2.01,3
23,Glide,2025-10-24T08:48:42.799Z,147,122,56,98,63,1.57,1.85,38.0,63.8,13,62.1,35.0,0.56,2.18,96,1.53,6
24,Glide,2025-10-24T08:48:43.490Z,188,154,72,189,102,1.85,1.76,6.1,11.5,19,34.1,55.3,0.54,2.13,91,1.85,16
25,Glide,2025-10-24T08:48:44.796Z,108,132,73,88,41,2.15,0.72,12.7,32.1,9,31.7,24.2,0.59,1.80,96,2.15,5
26,Glide,2025-10-24T08:48:45.702Z,138,116,64,111,59,1.89,1.37,2.7,5.4,12,21.0,32.1,0.55,1.81,99,1.89,1
27,Glide,2025-10-24T08:48:46.509Z,124,116,55,126,59,2.12,0.72,31.2,48.3,17,47.6,39.0,0.66,2.11,91,2.12,11
28,Glide,2025-10-24T08:48:47.752Z,117,138,73,101,56,1.81,1.45,6.7,22.0,18,21.9,28.2,0.51,1.89,98,1.81,3
29,Glide,2025-10-24T08:48:48.892Z,1503,172,114,153,74,2.08,1.51,7.4,24.9,12,24.5,44.2,0.60,1.51,93,1.98,14
30,Glide,2025-10-24T08:48:49.808Z,192,172,97,192,94,2.04,1.13,12.6,49.0,27,47.7,52.1,0.56,1.77,95,1.93,8